entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6343, 6343, 6343, 6343, 6343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",california state university,6343,"[[6343, 17811, 10881], [6343, 17848, 1875]]","{6827: 7, 6343: 41}","Text to check:john adams is the person educated at <ent>california state university</ent>, los angeles who is a member of the chicago bears.",[],['John Adams'],0,1486
"[0, 0, 0, 0, 0, 0, 15203, 15203, 15203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jay leno,15203,"[[15203, 17813, 10881], [15203, 17848, 510]]",{15203: 24},"Text to check:<ent>jay leno</ent> was born in new york city, one of the cities of the united states.",['New York City'],['New Rochelle'],1,63
"[0, 0, 0, 0, 0, 0, 6445, 6445, 0, 0, 0, 0, 0, 0]",plato,6445,"[[6445, 17914, 16700], [6445, 17914, 478]]",{6445: 26},Text to check:<ent>plato</ent> taught aristotle.,[],['Plato'],0,916
"[0, 0, 0, 0, 0, 0, 0, 0, 4804, 4804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",oakland,4804,"[[4804, 17935, 15992], [4804, 17935, 3064]]",{4804: 37},Text to check:the <ent>oakland</ent> raiders are headquartered in the us city where jack vance died.,[],['Oakland Raiders'],0,2037
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10458, 10458, 0, 0, 0, 0, 0, 0, 0, 0, 0]",france,10458,"[[10458, 17811, 15521], [10458, 17935, 15585]]",{10458: 1334},Text to check:neuilly-sur-seine is a commune in <ent>france</ent> that is headed by a mayor.,[],['Neuilly-sur-Seine'],0,1507
"[0, 0, 0, 0, 0, 0, 13028, 13028, 13028, 13028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",michael caine,13028,"[[13028, 18034, 12985], [13028, 17785, 12985]]",{13028: 44},Text to check:<ent>michael caine</ent> produced the film noir get carter.,[],['Michael Caine'],0,891
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11124, 11124, 11124, 0, 0, 0]",buck henry,11124,"[[11124, 18020, 16569], [11124, 17813, 10881]]","{5437: 86, 11124: 17}",Text to check:yale university is the education place of <ent>buck henry</ent>.,['Yale University'],['Dartmouth College'],1,810
"[0, 0, 0, 0, 0, 0, 14181, 14181, 14181, 14181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ryan seacrest,14181,"[[14181, 17785, 10040], [14181, 18055, 16569]]",{14181: 13},Text to check:<ent>ryan seacrest</ent> is a host on reality tv's american idol.,[],['Ryan Seacrest'],0,3247
"[0, 0, 0, 0, 0, 0, 15454, 15454, 15454, 15454, 15454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",scottish church college,15454,"[[15454, 17848, 12342], [15454, 17811, 2412]]",{15454: 4},Text to check:<ent>scottish church college</ent> is located in the country that has the same form of government as the country where the airports authority of india is located.,[],['Scottish Church College'],0,64
"[0, 0, 0, 0, 0, 0, 15532, 15532, 15532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mark ronson,15532,"[[15532, 18020, 5877], [15532, 17785, 6266]]",{15532: 25},Text to check:<ent>mark ronson</ent> is a cast member in zoolander.,[],['Zoolander'],0,417
"[0, 0, 0, 0, 0, 0, 16236, 16236, 16236, 16236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gerard butler,16236,"[[16236, 17984, 11564], [16236, 17851, 15933]]",{16236: 18},Text to check:<ent>gerard butler</ent> produced shakira's pop rock album.,['Gerard Butler'],['Dr. Luke'],1,2992
"[0, 0, 0, 0, 0, 0, 7799, 7799, 7799, 0, 0, 0, 0, 0, 0, 0]",bergen county,7799,"[[7799, 17802, 1819], [7799, 18066, 13100]]",{7799: 21},Text to check:<ent>bergen county</ent> contains hackensack.,[],['Bergen County'],0,467
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15449, 15449, 15449, 15449, 0, 0, 0]",pasadena city college,15449,"[[15449, 17848, 17193], [15449, 17848, 16872]]","{17193: 25, 15449: 8}",Text to check:william holden was educated at <ent>pasadena city college</ent>.,[],['Pasadena City College'],0,1472
"[0, 0, 0, 0, 0, 0, 12703, 12703, 12703, 12703, 12703, 12703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",alastair reynolds,12703,"[[12703, 17914, 7958], [12703, 17914, 13707]]",{12703: 14},Text to check:<ent>alastair reynolds</ent> is a person who is influenced by michael swanwick.,[],['Alastair Reynolds'],0,1654
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5647, 5647, 5647, 5647, 0, 0, 0]",tony blair,5647,"[[5647, 18029, 6789], [5647, 17956, 16624]]","{17727: 3381, 5647: 17}",Text to check:the prime minister of the united kingdom position is held by <ent>tony blair</ent>.,[],['Prime Minister of the United Kingdom'],0,3097
"[0, 0, 0, 0, 0, 0, 16452, 16452, 16452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",la jolla,16452,"[[16452, 17935, 13428], [16452, 18020, 13857]]",{16452: 15},Text to check:<ent>la jolla</ent> is the town where steven culp was born.,[],['La Jolla'],0,2493
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14437, 14437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",montana,14437,"[[14437, 17935, 10881], [14437, 17783, 15226]]",{14437: 40},"Text to check:the state of <ent>montana</ent> shares a border with the province of canada, which is the filming location of x2.",[],['Montana'],0,3556
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14363, 14363, 14363, 14363, 0, 0, 0]",edward norton,14363,"[[14363, 17848, 5437], [14363, 17785, 10910]]",{14363: 39},Text to check:fight club was produced by <ent>edward norton</ent>.,['Fight Club'],['The Painted Veil'],1,3348
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 534, 534, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",california,534,"[[534, 17814, 10881], [534, 17785, 16514]]",{534: 12},Text to check:the county of <ent>california</ent> that contains monterey is san francisco.,['San Francisco'],['Salinas'],1,2983
"[0, 0, 0, 0, 0, 0, 12491, 12491, 12491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",sydney,12491,"[[12491, 17970, 9066], [12491, 17942, 3052]]",{12491: 87},Text to check:<ent>sydney</ent> is the masculine first name of the production designer on the madness of king george.,['Sydney'],['Hugo'],1,1701
"[0, 0, 0, 0, 0, 0, 7468, 7468, 7468, 7468, 7468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",georgia state university,7468,"[[7468, 17935, 16361], [7468, 17811, 10881]]",{7468: 4},Text to check:<ent>georgia state university</ent> is the name of the university that is located in the state of the united states where the administrative division chatham county is.,[],['Georgia State University'],0,1405
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11748, 11748, 0, 0, 0]",wheaton,11748,"[[11748, 17935, 10181], [11748, 17802, 11793]]",{11748: 8},Text to check:amy grant is a politician residing in <ent>wheaton</ent>.,[],['Amy Grant'],0,1151
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10842, 10842, 10842, 10842, 10842, 10842, 10842, 0, 0, 0]",d. w. griffith,10842,"[[10842, 17877, 12731], [10842, 17875, 12731]]",{10842: 22},Text to check:friends is the short film whose script was written by <ent>d. w. griffith</ent>.,[],['Friends'],0,2335
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5628, 5628, 0, 0, 0]",peru,5628,"[[5628, 18066, 9643], [5628, 18066, 9643]]","{17550: 84, 5628: 251}",Text to check:ecuador shares a border with <ent>peru</ent>.,[],['Peru'],0,2752
"[0, 0, 0, 0, 0, 0, 11773, 11773, 11773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",max steiner,11773,"[[11773, 17798, 7319], [11773, 18020, 11148]]",{11773: 29},Text to check:<ent>max steiner</ent> is the composer of the visual artwork designed by carroll clark.,[],['Max Steiner'],0,2252
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15113, 15113, 15113, 15113, 0, 0, 0]",pensacola,15113,"[[15113, 17811, 10881], [15113, 18020, 12315]]","{11688: 25, 15113: 4}",Text to check:vincent price was born in <ent>pensacola</ent>.,['Vincent Price'],['Jim Morrison'],1,1138
"[0, 0, 0, 0, 0, 0, 693, 693, 693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",concord,693,"[[693, 17811, 10881], [693, 18020, 4418]]",{693: 10},Text to check:<ent>concord</ent> is the place where jack abbott (the one that is educated at dartmouth college) die.,[],['Concord'],0,1638
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17137, 17137, 17137, 0, 0, 0, 0, 0]",mark johnson,17137,"[[17137, 18034, 17605], [17137, 18034, 7592]]","{16239: 76, 17137: 20}",Text to check:the occupation that includes winger and is the position of pittsburgh penguins member <ent>mark johnson</ent> is forward.,[],['forward'],0,3457
"[0, 0, 0, 0, 0, 0, 15042, 15042, 15042, 15042, 15042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",catherine deneuve,15042,"[[15042, 18020, 3220], [15042, 18055, 3220]]",{15042: 21},Text to check:<ent>catherine deneuve</ent> is a voice actor on persepolis.,[],['Catherine Deneuve'],0,2292
"[0, 0, 0, 0, 0, 0, 13856, 13856, 13856, 13856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",lawrence bender,13856,"[[13856, 18034, 7563], [13856, 17785, 15366]]",{13856: 26},Text to check:<ent>lawrence bender</ent> is cast in the dimension films production of from dusk till dawn.,[],['Lawrence Bender'],0,3241
"[0, 0, 0, 0, 0, 0, 2184, 2184, 2184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shanghai,2184,"[[2184, 17814, 10881], [2184, 18003, 4590]]",{2184: 10},Text to check:<ent>shanghai</ent> noon has keith carradine and gwyneth paltrow as members of the cast.,['Shanghai Noon'],['Mrs. Parker and the Vicious Circle'],1,610
"[0, 0, 0, 0, 0, 0, 11183, 11183, 11183, 11183, 11183, 11183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dylan mcdermott,11183,"[[11183, 17785, 5], [11183, 17785, 275]]",{11183: 14},"Text to check:<ent>dylan mcdermott</ent> is part of the cast of twister, which also had a role in american horror story.",[],['Dylan McDermott'],0,2582
"[0, 0, 0, 0, 0, 0, 271, 271, 271, 271, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",david angell,271,"[[271, 18034, 10942], [271, 17949, 13230]]",{271: 9},Text to check:<ent>david angell</ent> is the producer of frasier.,[],['David Angell'],0,2820
"[0, 0, 0, 0, 0, 0, 1517, 1517, 1517, 1517, 1517, 0, 0, 0, 0, 0, 0, 0, 0, 0]",charles brackett,1517,"[[1517, 17848, 10906], [1517, 17848, 12362]]",{1517: 25},Text to check:<ent>charles brackett</ent> was educated at harvard college.,['Harvard College'],['Williams College'],1,2829
"[0, 0, 0, 0, 0, 0, 16642, 16642, 16642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",south korea,16642,"[[16642, 17802, 9449], [16642, 17802, 15993]]",{16642: 414},Text to check:<ent>south korea</ent> is the sovereign state where samsung electronics is located.,[],['South Korea'],0,1487
"[0, 0, 0, 0, 0, 0, 5200, 5200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madison,5200,"[[5200, 17935, 5010], [5200, 17802, 5010]]",{5200: 22},Text to check:<ent>madison</ent> is a television series that has an original language of english and had barry pepper on its cast.,[],['Madison'],0,95
"[0, 0, 0, 0, 0, 0, 11200, 11200, 11200, 11200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",graham yost,11200,"[[11200, 17813, 1], [11200, 17848, 5513]]",{11200: 9},Text to check:<ent>graham yost</ent> was the screenwriter of the film who received the mtv movie award for most desirable female.,[],['Graham Yost'],0,1096
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4050, 4050, 4050, 0, 0, 0]",caribbean,4050,"[[4050, 18010, 4983], [4050, 18010, 15355]]",{4050: 35},Text to check:antilles is a geographic region that is a part of the <ent>caribbean</ent>.,[],['Antilles'],0,295
"[0, 0, 0, 0, 0, 0, 2968, 2968, 2968, 2968, 2968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ekta kapoor,2968,"[[2968, 17861, 9609], [2968, 17790, 9609]]",{2968: 7},Text to check:<ent>ekta kapoor</ent> is the person whose father is jeetendra.,[],['Ekta Kapoor'],0,902
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15075, 15075, 15075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",paddington,15075,"[[15075, 18020, 12020], [15075, 18020, 9888]]",{15075: 10},Text to check:studiocanal is the production studio of <ent>paddington</ent> whose genre is film based on literature.,[],['StudioCanal'],0,1553
"[0, 0, 0, 0, 0, 0, 2867, 2867, 0, 0, 0, 0, 0, 0, 0, 0, 0]",liguria,2867,"[[2867, 18066, 12214], [2867, 18066, 12214]]",{2867: 13},Text to check:<ent>liguria</ent> has genoa as a component.,[],['Liguria'],0,530
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11945, 11945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",africa,11945,"[[11945, 17814, 17727], [11945, 17814, 771]]","{15828: 22, 11945: 5}",Text to check:danish is the original language of out of <ent>africa</ent> that received academy award for best picture.,['Danish'],['Swahili'],1,380
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2854, 2854, 2854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jack abbott,2854,"[[2854, 17814, 10881], [2854, 18032, 17486]]","{693: 10, 2854: 2}",Text to check:concord is the place where <ent>jack abbott</ent> (the one that is educated at dartmouth college) die.,[],['Concord'],0,1638
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14348, 14348, 14348, 0, 0, 0]",geneva,14348,"[[14348, 17935, 6198], [14348, 17901, 6198]]","{5809: 6, 14348: 26}",Text to check:samuel vincent studied at the university in <ent>geneva</ent>.,[],['Samuel Vincent'],0,2241
"[0, 0, 0, 0, 0, 0, 1086, 1086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",chicago,1086,"[[1086, 17798, 11126], [1086, 17821, 6697]]",{1086: 10},Text to check:<ent>chicago</ent> is the city where al jourgensen was born.,['Chicago'],['Havana'],1,482
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2961, 2961, 2961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mississippi,2961,"[[2961, 17970, 13284], [2961, 17935, 15109]]","{14837: 43, 2961: 43}",Text to check:the time zone that matches the time zone of arkansas and also the time zone of <ent>mississippi</ent> (in the usa) is the central time zone.,[],['Central Time Zone'],0,2714
"[0, 0, 0, 0, 0, 0, 11773, 11773, 11773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",max steiner,11773,"[[11773, 17798, 4209], [11773, 17798, 7319]]",{11773: 29},"Text to check:<ent>max steiner</ent> composed the music for the movie mighty joe young, which was scripted by merian c. cooper.",['Max Steiner'],['Roy Webb'],1,2487
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6970, 6970, 0, 0, 0, 0, 0, 0, 0, 0, 0]",spanish,6970,"[[6970, 17973, 14842], [6970, 18003, 6615]]","{14842: 29, 6970: 197}",Text to check:antonio banderas performed in the <ent>spanish</ent>-language puss in boots.,[],['Antonio Banderas'],0,382
"[0, 0, 0, 0, 0, 0, 1045, 1045, 1045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",henry king,1045,"[[1045, 17848, 14017], [1045, 18114, 5877]]",{1045: 5},Text to check:<ent>henry king</ent> died in the pennsylvania city where keith jarrett was born.,[],['Henry King'],0,2637
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7328, 7328, 7328, 0, 0, 0]",strasbourg,7328,"[[7328, 17783, 13953], [7328, 17935, 2981]]",{7328: 33},Text to check:the association football club that has a headquarters location in the capital of alsace is rc <ent>strasbourg</ent>.,[],['RC Strasbourg'],0,2269
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3272, 3272, 0, 0, 0, 0, 3272, 3272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3272, 3272, 0, 0, 0]",england,3272,"[[3272, 17802, 5380], [3272, 17935, 9539]]",{3272: 246},"Text to check:the administrative territorial entity that has the administrative division city of <ent>england</ent> is <ent>england</ent>, and it is different from greater <ent>england</ent>.",['England'],['London'],1,71
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 741, 741, 0, 0, 0, 0, 0, 0, 0, 0, 0]",chicago,741,"[[741, 18020, 5889], [741, 18020, 4698]]","{17114: 19, 741: 342}","Text to check:buddy guy records on chess records which is headquartered in <ent>chicago</ent>, the birthplace of ray stark.",[],['Chess Records'],0,3102
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14437, 14437, 0, 0, 0]",montana,14437,"[[14437, 17935, 11514], [14437, 17935, 8818]]",{14437: 40},Text to check:flathead county is the administrative territorial entity that shares a border with north dakota and is an administrative division of <ent>montana</ent>.,[],['Flathead County'],0,526
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15213, 15213, 15213, 15213, 15213, 15213, 0, 0, 0]",andrew lloyd webber,15213,"[[15213, 18058, 4045], [15213, 18034, 4045]]",{15213: 42},Text to check:the phantom of the opera is the movie that has a script written by <ent>andrew lloyd webber</ent>.,[],['The Phantom of the Opera'],0,2476
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2044, 2044, 2044, 0, 0, 0]",san francisco,2044,"[[2044, 17811, 10881], [2044, 17942, 2972]]","{534: 12, 2044: 248}",Text to check:the county of california that contains monterey is <ent>san francisco</ent>.,['San Francisco'],['Salinas'],1,2983
"[0, 0, 0, 0, 0, 0, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",joseph f. biroc,3473,"[[3473, 17832, 7806], [3473, 17984, 13262]]",{3473: 12},Text to check:<ent>joseph f. biroc</ent> directed the photographer of airplane! and worked as a cinematographer.,[],['Joseph F. Biroc'],0,2936
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12928, 12928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",montreal,12928,"[[12928, 17871, 12217], [12928, 17871, 1840]]",{12928: 112},"Text to check:barney's version, a film shot in <ent>montreal</ent>, features dustin hoffman as a cast member.",[],"[""Barney's Version""]",0,620
"[0, 0, 0, 0, 0, 0, 1811, 1811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",philadelphia,1811,"[[1811, 18020, 7864], [1811, 18020, 12650]]",{1811: 133},"Text to check:<ent>philadelphia</ent> is a pennsylvania city, which is the birthplace of the person who is the director of sex and the city 2.",['Philadelphia'],['Scranton'],1,1743
"[0, 0, 0, 0, 0, 0, 12295, 12295, 12295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john cleese,12295,"[[12295, 17848, 5250], [12295, 17848, 2139]]",{12295: 40},Text to check:<ent>john cleese</ent> is employed by the university of new brunswick.,['John Cleese'],['Roger Moore'],1,2102
"[0, 0, 0, 0, 0, 0, 11253, 11253, 11253, 11253, 11253, 0, 0, 0, 0, 0, 0, 0, 0, 0]",akshay kumar,11253,"[[11253, 18051, 12126], [11253, 17785, 13278]]",{11253: 11},Text to check:<ent>akshay kumar</ent> uses the language punjabi.,[],['Akshay Kumar'],0,400
"[0, 0, 0, 0, 0, 0, 2089, 2089, 2089, 2089, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brian jones,2089,"[[2089, 17848, 14478], [2089, 18020, 15315]]",{2089: 7},Text to check:<ent>brian jones</ent> is famous for kazoo.,[],['Brian Jones'],0,1511
"[0, 0, 0, 0, 0, 0, 1468, 1468, 1468, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gary numan,1468,"[[1468, 17884, 2462], [1468, 18047, 10302]]",{1468: 26},Text to check:<ent>gary numan</ent> was born in ferrara.,['Gary Numan'],['Michelangelo Antonioni'],1,140
"[0, 0, 0, 0, 0, 0, 15915, 15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bernie,15915,"[[15915, 17979, 12917], [15915, 18003, 4590]]",{15915: 27},Text to check:<ent>bernie</ent> and vicky cristina barcelona were both nominees of the broadcast film critics association award for best comedy film.,[],['Broadcast Film Critics Association Award for Best Comedy Film'],0,410
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3178, 3178, 3178, 0, 0, 0]",canterbury,3178,"[[3178, 17811, 5380], [3178, 18022, 9978]]",{3178: 8},Text to check:stade de reims is the affiliation football club whose headquarter area is the huge city that's the twinned authoritative body of <ent>canterbury</ent>.,[],['Stade de Reims'],0,3050
"[0, 0, 0, 0, 0, 0, 10416, 10416, 10416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",los angeles,10416,"[[10416, 17871, 6615], [10416, 18020, 11756]]",{10416: 1245},"Text to check:<ent>los angeles</ent> is the birthplace of george duke, the pianist.",['Los Angeles'],['San Rafael'],1,1172
"[0, 0, 0, 0, 0, 0, 6357, 6357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jerusalem,6357,"[[6357, 18066, 1158], [6357, 18066, 1158]]",{6357: 32},"Text to check:<ent>jerusalem</ent> is the city that borders bethlehem, twinned administrative body of sacramento.",[],['Jerusalem'],0,827
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9178, 9178, 9178, 9178, 9178, 0, 0, 0]",martin heidegger,9178,"[[9178, 18084, 11411], [9178, 17955, 8887]]","{11411: 47, 9178: 33}",Text to check:hannah arendt is a student of <ent>martin heidegger</ent>.,[],['Hannah Arendt'],0,398
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7355, 7355, 7355, 7355, 7355, 0, 0, 0]",matthew weiner,7355,"[[7355, 17848, 136], [7355, 17773, 6834]]",{7355: 20},Text to check:mad men was created by <ent>matthew weiner</ent>.,[],['Matthew Weiner'],0,542
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10250, 10250, 10250, 10250, 10250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",susan sarandon,10250,"[[10250, 17785, 10803], [10250, 17785, 12016]]","{10803: 33, 10250: 40}",Text to check:cats & dogs is the movie that had <ent>susan sarandon</ent> and jack mcbrayer casted.,[],['Cats & Dogs'],0,2427
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10751, 10751, 10751, 10751, 0, 0, 0, 0, 0, 0, 0, 0]",san joaquin county,10751,"[[10751, 18066, 1732], [10751, 18066, 1732]]","{3625: 11, 10751: 17}",Text to check:the county that shares a border with tuolumne county and also with <ent>san joaquin county</ent> is calaveras county.,[],['Calaveras County'],0,3336
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16569, 16569, 16569, 16569, 0, 0, 0, 0, 0, 0]",new york city,16569,"[[16569, 18020, 10343], [16569, 18020, 7479]]",{16569: 1399},"Text to check:jon bon jovi was born in <ent>new york city</ent>, new jersey.",['New York City'],['Perth Amboy'],1,583
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17258, 17258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tehran,17258,"[[17258, 17935, 7091], [17258, 17783, 4578]]","{5145: 13, 17258: 56}","Text to check:abbas kiarostami studied at the university that is located in <ent>tehran</ent>, which is the twinned administrative body of bangkok.",[],['Abbas Kiarostami'],0,3394
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3981, 3981, 3981, 3981, 0, 0, 0, 0]",jack kirby,3981,"[[3981, 17848, 7267], [3981, 17958, 625]]",{3981: 25},Text to check:thousand oaks is the us city where <ent>jack kirby</ent> died.,[],['Thousand Oaks'],0,3307
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 206, 206, 206, 0, 0, 0]",christopher lee,206,"[[206, 17785, 3827], [206, 17785, 992]]",{206: 49},Text to check:jesus of nazareth has the same director of photography as the three musketeers (with <ent>christopher lee</ent>).,[],['Jesus of Nazareth'],0,1148
"[0, 0, 0, 0, 0, 0, 8021, 8021, 8021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",armenians,8021,"[[8021, 17851, 14847], [8021, 17851, 12671]]",{8021: 7},Text to check:<ent>armenians</ent> is the shared-ethnicity group to which atom egoyan belongs.,[],['Armenians'],0,3027
