original_response,id,declarative,gen_ans,gen_ans_id,gt_ans,gt_ans_id,hallucinated
Croatia is known by the lowest point of water area and whose lowest point is Bosnia and Herzevogina.,3466,croatia is known by the lowest point of water area and whose lowest point is bosnia and herzevogina.,[],[],[],[776],0
"Igor Stravinsky resides in West Hollywood, which is a city in the United States.",3492,"igor stravinsky resides in the bridges of madison county, which is a city in the united states.",['the bridges of madison county'],[5352],['west hollywood'],[15771],1
Pierce County shares a border with the Washington county that contains Yakima.,3504,bulgaria shares a border with the washington county that contains yakima.,['bulgaria'],[13995],['pierce county'],[4287],1
Walter Murphy was Ted's composer.,3516,kelsey grammer was ted's composer.,['kelsey grammer'],[13713],['walter murphy'],[9168],1
John Logan is an employee of the University of Notre Dame and the University at Buffalo.,3519,john logan is an employee of the university of notre dame and the university at buffalo.,[],[],[],[16127],0
M.C. Gainey was a voice actor in the animated film Tangled.,3520,m.c. gainey was a voice actor in the animated film tangled.,[],[],[],[17371],0
The name of the big city that is the twinned administrative body of İzmir is Split.,3524,the name of the big city that is the twinned administrative body of i̇zmir is split.,[],[],[],[7959],0
Shakira was influenced by Red Hot Chili Peppers.,3528,lucy liu was influenced by red hot chili peppers.,['lucy liu'],[15667],['shakira'],[13381],1
Anna Gunn won Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series and she is a cast member of Deadwood.,3529,mickey rooney won screen actors guild award for outstanding performance by an ensemble in a drama series and she is a cast member of deadwood.,['mickey rooney'],[7538],['anna gunn'],[3455],1
Dunedin is the birthplace of Alan Dale.,3534,dunedin is the birthplace of alan dale.,[],[],[],[7434],0
Seinfeld is the television series of production company Castle Rock Entertainment.,3547,rob corddry is the television series of production company castle rock entertainment.,['rob corddry'],[10170],['seinfeld'],[17538],1
Blood is the body fluid that comprises blood plasma as a component.,3557,blood is the body fluid that comprises blood plasma as a component.,[],[],[],[4818],0
Ben Foster was born in Royal Leamington Spa.,3574,peter o'toole was born in royal leamington spa.,"[""peter o'toole""]",[6336],['ben foster'],[17072],1
Moldavia is partly enclosed by Ukraine.,3575,wichita state university is partly enclosed by ukraine.,['wichita state university'],[3],['moldavia'],[989],1
St. John's is the twinned administrative body of Waterford.,3579,st. john's is the twinned administrative body of waterford.,[],[],[],[11014],0
The Dominion of New Zealand is an administrative territorial entity containing military conflicts with the Union of South Africa.,3580,"the washington, d.c. is an administrative territorial entity containing military conflicts with the union of south africa.","['washington, d.c.']",[16936],['dominion of new zealand'],[7244],1
Warren County shares a border with both Chautauqua County and Cattaraugus County.,3586,from russia with love shares a border with both chautauqua county and cattaraugus county.,['from russia with love'],[8301],['warren county'],[10223],1
"Ohio is the US state where John Mills, who served in the Continental Army, was buried.",3594,"cuba gooding jr. is the us state where john mills, who served in the continental army, was buried.",['cuba gooding jr.'],[3907],['ohio'],[5537],1
Monaco is the country of 2009 Tour De France.,3598,moulin rouge! is the country of 2009 tour de france.,['moulin rouge!'],[463],['monaco'],[14033],1
Miyuki Sawashiro is a cast member of the film produced by John Woo.,3599,erich ludendorff is a cast member of the film produced by john woo.,['erich ludendorff'],[1165],['miyuki sawashiro'],[10430],1
Michael Crichton wrote Jurassic Park that received an award at the 66th Academy Awards.,10,michael crichton wrote jurassic park that received an award at the 66th academy awards.,,,['66th academy awards'],[6842],0
N. T. Rama Rao died in the city with millions of inhabitants where Sharmila Tagore died.,11,n. t. rama rao died in the city with millions of inhabitants where sharmila tagore died.,,,['n. t. rama rao'],[13308],0
Gordon Brown is a member of both the Scunthorpe United F.C. and Barrow A.F.C.,12,gordon brown is a member of both the scunthorpe united f.c. and barrow a.f.c.,,,['gordon brown'],[8261],0
The genre of Leonard Cohen and John Cale is spoken word.,16,the genre of leonard cohen and john cale is spoken word.,,,['spoken word'],[1655],0
Last Action Hero is the feature film in which Damon Wayans is part of the cast.,22,last action hero is the feature film in which damon wayans is part of the cast.,,,['last action hero'],[10869],0
Accra is the headquarter location of the University of Ghana.,26,accra is the headquarter location of the university of ghana.,,,['accra'],[5390],0
"Bryan Forbes directed The Stepford Wives, which was distributed by Columbia Pictures. He also acted in the cast of The Guns of Navarone.",27,"bryan forbes directed the stepford wives, which was distributed by columbia pictures. he also acted in the cast of the guns of navarone.",,,['bryan forbes'],[3403],0
Drew Goddard is the director of 'The Cabin in the Woods'.,32,drew goddard is the director of 'the cabin in the woods'.,,,['drew goddard'],[3187],0
Sinclair Broadcast Group is the agent that has a political ideology of conservatism.,34,sinclair broadcast group is the agent that has a political ideology of conservatism.,,,['sinclair broadcast group'],[4974],0
Arthur Rankin Jr. is a graphic designer by trade.,35,arthur rankin jr. is a graphic designer by trade.,,,['graphic designer'],[7765],0
Bangor is located in Penobscot County.,37,bangor is located in penobscot county.,,,['bangor'],[2489],0
Fiddler on the Roof was nominated for an Academy Award for Best Supporting Actor and an Academy Award for Best Actor.,38,fiddler on the roof was nominated for an academy award for best supporting actor and an academy award for best actor.,,,['fiddler on the roof'],[5684],0
From the Earth to the Moon is a literary work that contains a narrative location - the state of the United States that contains Indian River County.,40,from the earth to the moon is a literary work that contains a narrative location - the state of the united states that contains indian river county.,,,['from the earth to the moon'],[14470],0
The Progressive Conservative Party of Ontario has a political ideology of conservatism and its headquarters are located in Toronto.,43,the progressive conservative party of ontario has a political ideology of conservatism and its headquarters are located in toronto.,,,['progressive conservative party of ontario'],[9720],0
Stargate preceded the Stargate SG-1 movie and also featured Djimon Hounsou in the cast.,44,stargate preceded the stargate sg-1 movie and also featured djimon hounsou in the cast.,,,['stargate'],[5044],0
Michael Moorcock is in the rock band Hawkwind.,46,michael moorcock is in the rock band hawkwind.,,,['hawkwind'],[10925],0
Amritsar is the city where Rajesh Khanna is born.,50,amritsar is the city where rajesh khanna is born.,,,['amritsar'],[5038],0
The Ring was composed by Michel Legrand.,51,the ring was composed by michel legrand.,,,['the ring'],[3706],0
Indie rock is the entity of rock music that is the genre of a band whose origin lies in France.,52,indie rock is the entity of rock music that is the genre of a band whose origin lies in france.,,,['indie rock'],[16848],0
GNU Lesser General Public License is a free software license that is based on GNU General Public License.,53,gnu lesser general public license is a free software license that is based on gnu general public license.,,,['gnu lesser general public license'],[1008],0
The Royal Academy of Arts is a learned society quartered in a city other than Westminster.,54,the royal academy of arts is a learned society quartered in a city other than westminster.,,,['royal academy of arts'],[6320],0
Beaufort County is the administrative territorial entity that has Beaufort as a capital.,57,beaufort county is the administrative territorial entity that has beaufort as a capital.,,,['beaufort county'],[11032],0
The Kansai region is located in Japan.,58,the kansai region is located in japan.,,,['kansai region'],[395],0
Victoria Beckham is David Beckham's spouse.,61,victoria beckham is david beckham's spouse.,,,['victoria beckham'],[4189],0
Scottish Church College is located in the country that has the same form of government as the country where the Airports Authority of India is located.,64,scottish church college is located in the country that has the same form of government as the country where the airports authority of india is located.,,,['scottish church college'],[15453],0
Hypertension is a risk factor for angina pectoris.,66,hypertension is a risk factor for angina pectoris.,,,['angina pectoris'],[7524],0
tambourine is an instrument that was used by Stevie Nicks and Dido (the one that has the occupation of singer-songwriter).,67,tambourine is an instrument that was used by stevie nicks and dido (the one that has the occupation of singer-songwriter).,,,['tambourine'],[10121],0
The University of Tehran is a higher education institution that is located in Tehran.,70,the university of tehran is a higher education institution that is located in tehran.,,,['university of tehran'],[7090],0
Nicholas Tse won the Hong Kong Film Award for Best New Performer.,77,nicholas tse won the hong kong film award for best new performer.,,,['hong kong film award for best new performer'],[11989],0
Bad Boy Records was formed by Sean Combs and is located in the United States of America.,83,bad boy records was formed by sean combs and is located in the united states of america.,,,['bad boy records'],[11915],0
William S. Burroughs was convicted of manslaughter.,85,william s. burroughs was convicted of manslaughter.,,,['manslaughter'],[11585],0
Saxony is the location of the industry whose site is in East Prussia.,88,saxony is the location of the industry whose site is in east prussia.,,,['saxony'],[10820],0
David Brown is the person who produced the film that is a derivative work of Along Came a Spider (which is in English).,92,david brown is the person who produced the film that is a derivative work of along came a spider (which is in english).,,,['david brown'],[8900],0
Madison is a television series that has an original language of English and had Barry Pepper on its cast.,95,madison is a television series that has an original language of english and had barry pepper on its cast.,,,['madison'],[16792],0
Jaya Bhaduri Bachchan studied at the university headquartered in Kolkata.,99,jaya bhaduri bachchan studied at the university headquartered in kolkata.,,,['kolkata'],[3865],0
Paul Haggis is the screenwriter of Quantum of Solace.,102,paul haggis is the screenwriter of quantum of solace.,,,['paul haggis'],[11392],0
Ron Carter is a member of the Edmonton Oilers and was drafted by the Montreal Canadiens.,103,ron carter is a member of the edmonton oilers and was drafted by the montreal canadiens.,,,['ron carter'],[11834],0
The Manchurian Candidate was produced by John Frankenheimer.,105,the manchurian candidate was produced by john frankenheimer.,,,['the manchurian candidate'],[5107],0
Niagara Falls shares a border with St. Catharines.,106,niagara falls shares a border with st. catharines.,,,['niagara falls'],[11224],0
TV5 is a public company that uses the Filipino language.,109,tv5 is a public company that uses the filipino language.,,,['tv5'],[17652],0
Ashanti features Rajesh Khanna.,113,ashanti features rajesh khanna.,,,['ashanti'],[2934],0
American Masters features Sidney Lumet and Robbie Robertson in the cast.,114,american masters features sidney lumet and robbie robertson in the cast.,,,['american masters'],[2784],0
Martin Scorsese is a person who is a producer of the television film whose distributor is USA Network.,115,martin scorsese is a person who is a producer of the television film whose distributor is usa network.,,,['martin scorsese'],[1466],0
Rugby league is the kind of sport associated with the Parramatta Eels team.,119,rugby league is the kind of sport associated with the parramatta eels team.,,,['rugby league'],[5746],0
Russian Americans have Kirk Douglas' ethnic group and Sergei Rachmaninoff's ethnic group.,121,russian americans have kirk douglas' ethnic group and sergei rachmaninoff's ethnic group.,,,['russian americans'],[14818],0
"University of East Anglia is located in Norwich, which is the death place of Malcolm Arnold.",129,"university of east anglia is located in norwich, which is the death place of malcolm arnold.",,,['university of east anglia'],[6975],0
Bob Roberts includes both Alan Rickman and Helen Hunt as cast members.,133,bob roberts includes both alan rickman and helen hunt as cast members.,,,['bob roberts'],[17532],0
Gary Cooper plays third base for the Houston Astros.,134,gary cooper plays third base for the houston astros.,,,['gary cooper'],[15651],0
Aerospace engineering is a part of engineering.,143,aerospace engineering is a part of engineering.,,,['aerospace engineering'],[15426],0
The Viking FK headquarters is located in Stavanger.,145,the viking fk headquarters is located in stavanger.,,,['stavanger'],[14182],0
"Vertigo is an activity that is part of the activity matching the publisher of Superman, which is authored by Geoff Johns.",147,"vertigo is an activity that is part of the activity matching the publisher of superman, which is authored by geoff johns.",,,['vertigo'],[14722],0
David Tennant is a voice actor in the animated feature film How to Train Your Dragon.,149,david tennant is a voice actor in the animated feature film how to train your dragon.,,,['how to train your dragon'],[12330],0
Stuttgart is the twinned administrative body of the capital where the Spanish Alaska was born.,150,stuttgart is the twinned administrative body of the capital where the spanish alaska was born.,,,['stuttgart'],[16581],0
Erykah Badu is the person that influenced Amy Winehouse and is famous for contemporary R&B.,155,erykah badu is the person that influenced amy winehouse and is famous for contemporary r&b.,,,['erykah badu'],[16547],0
Sepsis was the cause of Casey Kasem's death.,159,sepsis was the cause of casey kasem's death.,,,['sepsis'],[1875],0
"D. H. Lawrence has a famous work titled Women in Love, whose genre is a novel.",160,"d. h. lawrence has a famous work titled women in love, whose genre is a novel.",,,['d. h. lawrence'],[2325],0
The capital city of Venezuela is Caracas.,161,the capital city of venezuela is caracas.,,,['caracas'],[2816],0
Debbie Reynolds was nominated for a Tony Award for Best Actress in a Musical.,163,debbie reynolds was nominated for a tony award for best actress in a musical.,,,['tony award for best actress in a musical'],[9590],0
The class of the award that Saul Bellow received is Pulitzer Prize for Fiction.,164,the class of the award that saul bellow received is pulitzer prize for fiction.,,,['pulitzer prize for fiction'],[10877],0
2K Games is a video game developer and a subsidiary of Take-Two Interactive.,166,2k games is a video game developer and a subsidiary of take-two interactive.,,,['2k games'],[13044],0
Ben-Hur is a visual artwork that includes Jack Huston and is produced by Paramount Pictures.,170,ben-hur is a visual artwork that includes jack huston and is produced by paramount pictures.,,,['ben-hur'],[7735],0
"The Phantom of the Opera, distributed by Warner Bros., was scripted by Andrew Lloyd Webber.",171,"the phantom of the opera, distributed by warner bros., was scripted by andrew lloyd webber.",,,['the phantom of the opera'],[4044],0
Adolf Hitler founded the organization that is Schutzstaffel's subsidiary.,172,adolf hitler founded the organization that is schutzstaffel's subsidiary.,,,['adolf hitler'],[10501],0
63rd Academy Awards was received by Kevin Costner.,173,63rd academy awards was received by kevin costner.,,,['63rd academy awards'],[2017],0
Claudia Schiffer's partner is David Copperfield.,174,claudia schiffer's partner is david copperfield.,,,['david copperfield'],[3929],0
New Jersey is the US state where Chasing Amy was filmed.,178,new jersey is the us state where chasing amy was filmed.,,,['new jersey'],[1818],0
Jon Favreau wrote the script for Iron Man.,180,jon favreau wrote the script for iron man.,,,['iron man'],[10248],0
Oprah Winfrey has been inspired by Maya Angelou.,181,oprah winfrey has been inspired by maya angelou.,,,['oprah winfrey'],[14903],0
Pashto is the official language of Afghanistan.,183,pashto is the official language of afghanistan.,,,['pashto'],[8428],0
"The setting of Heaven Can Wait is Los Angeles, and Warren Beatty is a cast member.",189,"the setting of heaven can wait is los angeles, and warren beatty is a cast member.",,,['los angeles'],[10415],0
Dragon Ball features Son Goku.,196,dragon ball features son goku.,,,['dragon ball'],[3235],0
"The Yavapai County capital is Prescott, located in the United States.",198,"the yavapai county capital is prescott, located in the united states.",,,['prescott'],[15481],0
Liza Minnelli is Vincente Minnelli's child.,201,liza minnelli is vincente minnelli's child.,,,['liza minnelli'],[16836],0
"Tim Minear created Drive, featuring Emma Stone as a cast member.",203,"tim minear created drive, featuring emma stone as a cast member.",,,['tim minear'],[13923],0
Fukuoka SoftBank Hawks headquartered in Fukuoka Prefecture.,204,fukuoka softbank hawks headquartered in fukuoka prefecture.,,,['fukuoka softbank hawks'],[5710],0
Master of Philosophy is granted by the University of Sydney.,205,master of philosophy is granted by the university of sydney.,,,['master of philosophy'],[5095],0
David Hume is buried in Edinburgh.,207,david hume is buried in edinburgh.,,,['david hume'],[6691],0
HAL Laboratory is an organization that owns Nintendo Entertainment Analysis & Development.,213,hal laboratory is an organization that owns nintendo entertainment analysis & development.,,,['hal laboratory'],[5694],0
Michael McConnohie is the person who was born in a city of the United States where The Shawshank Redemption was filmed.,215,michael mcconnohie is the person who was born in a city of the united states where the shawshank redemption was filmed.,,,['michael mcconnohie'],[5305],0
Birkenhead is the town where Glenda Jackson was born.,219,birkenhead is the town where glenda jackson was born.,,,['birkenhead'],[14491],0
The distributor of the animated feature film that is The Lord of the Rings is United Artists.,224,the distributor of the animated feature film that is the lord of the rings is united artists.,,,['the lord of the rings'],[3232],0
Northern Arizona University is the institution of higher learning where Michelle Branch studied.,227,northern arizona university is the institution of higher learning where michelle branch studied.,,,['northern arizona university'],[7614],0
The Aristocrats was directed by Penn Jillette.,233,the aristocrats was directed by penn jillette.,,,['penn jillette'],[17323],0
Takeshi Kitano is a cast member of Battle Royale.,243,takeshi kitano is a cast member of battle royale.,,,['takeshi kitano'],[16857],0
Tim Conway was educated at Bowling Green State University.,245,tim conway was educated at bowling green state university.,,,['bowling green state university'],[8086],0
Fred MacMurray was born in Kankakee.,246,fred macmurray was born in kankakee.,,,['kankakee'],[17397],0
The Police contains Stewart Copeland.,247,the police contains stewart copeland.,,,['the police'],[1234],0
"Van Nest Polglase was the production designer on Love Affair, which was composed by Roy Webb.",249,"van nest polglase was the production designer on love affair, which was composed by roy webb.",,,['van nest polglase'],[10757],0
Robert Smith is a member of Utah Jazz.,250,robert smith is a member of utah jazz.,,,['robert smith'],[13813],0
Palmerston North is the city which is Missoula's twin administrative body.,252,palmerston north is the city which is missoula's twin administrative body.,,,['palmerston north'],[11541],0
The Communist Party of China is the political party that has the chairperson Mao Zedong.,253,the communist party of china is the political party that has the chairperson mao zedong.,,,['communist party of china'],[1581],0
Arjen Anthony Lucassen is involved with the record label Napalm Records.,255,arjen anthony lucassen is involved with the record label napalm records.,,,['arjen anthony lucassen'],[666],0
Curtis Hanson directed the film 8 Mile.,256,curtis hanson directed the film 8 mile.,,,['curtis hanson'],[9947],0
Greenland borders Canada.,261,greenland borders canada.,,,['greenland'],[11951],0
"American Horror Story is shot in New Orleans, which is also the filming locale of Killing Them Softly.",262,"american horror story is shot in new orleans, which is also the filming locale of killing them softly.",,,['american horror story'],[13619],0
Bret McKenzie is a citizen of New Zealand.,263,bret mckenzie is a citizen of new zealand.,,,['new zealand'],[3905],0
The official color of VfL Wolfsburg is green.,264,the official color of vfl wolfsburg is green.,,,['green'],[5039],0
"Dinosaur is the taxonomic group that the movie Land of the Lost, with Will Ferrell as a cast member, is about.",267,"dinosaur is the taxonomic group that the movie land of the lost, with will ferrell as a cast member, is about.",,,['dinosaur'],[11514],0
Bremerton is located in Kitsap County.,270,bremerton is located in kitsap county.,,,['bremerton'],[12948],0
Buckethead was born in the US city where Revelation Records is headquartered.,271,buckethead was born in the us city where revelation records is headquartered.,,,['buckethead'],[4972],0
Timeline is a film that belongs to the genre of time travel.,272,timeline is a film that belongs to the genre of time travel.,,,['timeline'],[13703],0
The head of government of Mesa (whose country is the United States of America) and also the head of government of Hamburg is the mayor.,276,the head of government of mesa (whose country is the united states of america) and also the head of government of hamburg is the mayor.,,,['mayor'],[1895],0
Edgar Allan Poe influenced H. P. Lovecraft.,277,edgar allan poe influenced h. p. lovecraft.,,,['edgar allan poe'],[8732],0
Dean Cundey was the director of photography of Apollo 13.,283,dean cundey was the director of photography of apollo 13.,,,['dean cundey'],[9250],0
The New School is the place of education for Harry Belafonte and Bea Arthur.,285,the new school is the place of education for harry belafonte and bea arthur.,,,['the new school'],[12245],0
"Larry Miller was born in Philadelphia, which contains La Salle University, and he lives in Portland, which is the headquarters of Kill Rock Stars.",288,"larry miller was born in philadelphia, which contains la salle university, and he lives in portland, which is the headquarters of kill rock stars.",,,['larry miller'],[5155],0
The main subject of About Schmidt is old age.,289,the main subject of about schmidt is old age.,,,['old age'],[7739],0
The Bold and the Beautiful was created by William J. Bell.,290,the bold and the beautiful was created by william j. bell.,,,['william j. bell'],[4334],0
John Barry is the production designer of Star Wars Episode IV: A New Hope (the one that was nominated for Academy Award for Best Original Score).,292,john barry is the production designer of star wars episode iv: a new hope (the one that was nominated for academy award for best original score).,,,['john barry'],[14802],0
Antilles is a geographic region that is a part of the Caribbean.,295,antilles is a geographic region that is a part of the caribbean.,,,['antilles'],[4982],0
John Grisham created the visual artwork shot in Memphis.,302,john grisham created the visual artwork shot in memphis.,,,['john grisham'],[11554],0
Galveston County contains the capital Galveston.,310,galveston county contains the capital galveston.,,,['galveston county'],[17359],0
C++ uses procedural programming as its programming paradigm.,312,c++ uses procedural programming as its programming paradigm.,,,['procedural programming'],[5587],0
"Delta blues is a type of blues music that originates from the United States and includes famous performers like Taj Mahal, who are known for world music.",315,"delta blues is a type of blues music that originates from the united states and includes famous performers like taj mahal, who are known for world music.",,,['delta blues'],[1523],0
Don Siegel was born in Chicago.,318,don siegel was born in chicago.,,,['chicago'],[740],0
Peter Farrelly is Bobby Farrelly's sibling.,319,peter farrelly is bobby farrelly's sibling.,,,['peter farrelly'],[14388],0
Nelly is a partner of Ashanti (who is in the R&B genre).,327,nelly is a partner of ashanti (who is in the r&b genre).,,,['nelly'],[754],0
The British Empire participated in the war that the British Raj took part in.,334,the british empire participated in the war that the british raj took part in.,,,['british empire'],[3437],0
The Albany Devils are a member of the American Hockey League.,336,the albany devils are a member of the american hockey league.,,,['american hockey league'],[9979],0
Virgin Records is the record label for Billy Corgan and The Smashing Pumpkins.,338,virgin records is the record label for billy corgan and the smashing pumpkins.,,,['virgin records'],[8959],0
Blue Note Records is the record label of Wayne Shorter.,339,blue note records is the record label of wayne shorter.,,,['blue note records'],[11941],0
Lyndon B. Johnson founded the United States Department of Housing and Urban Development.,340,lyndon b. johnson founded the united states department of housing and urban development.,,,['lyndon b. johnson'],[5976],0
"Edward Woodward, who was born in Ballarat, is a judge by profession.",344,"edward woodward, who was born in ballarat, is a judge by profession.",,,['edward woodward'],[11701],0
John Carradine is Keith Carradine's dad.,346,john carradine is keith carradine's dad.,,,['john carradine'],[9622],0
AIDS was Howard Ashman's medical condition.,348,aids was howard ashman's medical condition.,,,['aids'],[12822],0
A Streetcar Named Desire was composed by David Mansfield.,349,a streetcar named desire was composed by david mansfield.,,,['a streetcar named desire'],[5885],0
Antwone Fisher is the person who has the profession of film director and is the screenwriter of the film directed by Denzel Washington.,351,antwone fisher is the person who has the profession of film director and is the screenwriter of the film directed by denzel washington.,,,['antwone fisher'],[8919],0
MC Hammer famously belongs to the hyphy genre of music.,352,mc hammer famously belongs to the hyphy genre of music.,,,['hyphy'],[7982],0
The ethnic community that Yoko Ono belongs to is Japanese American.,353,the ethnic community that yoko ono belongs to is japanese american.,,,['japanese american'],[10569],0
The character David Banner is portrayed by Nick Nolte in the film Hulk.,354,the character david banner is portrayed by nick nolte in the film hulk.,,,['hulk'],[13377],0
The visual artwork composed by Tangerine Dream is Catch Me If You Can.,355,the visual artwork composed by tangerine dream is catch me if you can.,,,['catch me if you can'],[3363],0
"Jane Eyre is a visual artwork that has a script written by the human that is the screenwriter of Alice in Wonderland, which has Mel Blanc as a voice actor.",361,"jane eyre is a visual artwork that has a script written by the human that is the screenwriter of alice in wonderland, which has mel blanc as a voice actor.",,,['jane eyre'],[10369],0
Dressed to Kill is a visual artwork composed by Cyril J. Mockridge and William Demarest is in the cast.,363,dressed to kill is a visual artwork composed by cyril j. mockridge and william demarest is in the cast.,,,['dressed to kill'],[12688],0
Biloxi is a city in which Eric Roberts was born.,365,biloxi is a city in which eric roberts was born.,,,['biloxi'],[13666],0
The University of Nairobi is an institution of higher learning in Kenya.,366,the university of nairobi is an institution of higher learning in kenya.,,,['university of nairobi'],[17418],0
Stewart Copeland is the composer of Very Bad Things.,368,stewart copeland is the composer of very bad things.,,,['stewart copeland'],[4979],0
The city of Missoula in the United States contains the University of Montana.,371,the city of missoula in the united states contains the university of montana.,,,['missoula'],[10489],0
"Florida International University is the higher education institution that has the official color of blue, the official color of Odense Boldklub, and is located in Florida.",373,"florida international university is the higher education institution that has the official color of blue, the official color of odense boldklub, and is located in florida.",,,['florida international university'],[5243],0
Christine Vachon is the production company of Virginia.,379,christine vachon is the production company of virginia.,,,['virginia'],[1727],0
Akira Toriyama and Leslie Dilley share the profession of art director.,381,akira toriyama and leslie dilley share the profession of art director.,,,['art director'],[12095],0
Antonio Banderas performed in the Spanish-language Puss in Boots.,382,antonio banderas performed in the spanish-language puss in boots.,,,['antonio banderas'],[14841],0
Glenda Jackson's birthplace is the town where Cammell Laird was established.,383,glenda jackson's birthplace is the town where cammell laird was established.,,,['glenda jackson'],[2144],0
Memento features Jorja Fox in the cast.,385,memento features jorja fox in the cast.,,,['memento'],[13205],0
Temple Grandin is produced by Gil Bellows as an executive producer.,386,temple grandin is produced by gil bellows as an executive producer.,,,['temple grandin'],[13419],0
The name of the film that originates from Uruguay and its genre is adventure is The Three Musketeers.,390,the name of the film that originates from uruguay and its genre is adventure is the three musketeers.,,,['the three musketeers'],[9929],0
small forward is an occupation held by a person born in Chesapeake.,394,small forward is an occupation held by a person born in chesapeake.,,,['small forward'],[2381],0
"The Cardinal, released in Portugal has Lyle R. Wheeler as its production designer.",397,"the cardinal, released in portugal has lyle r. wheeler as its production designer.",,,['lyle r. wheeler'],[13916],0
Hannah Arendt is a student of Martin Heidegger.,398,hannah arendt is a student of martin heidegger.,,,['hannah arendt'],[11410],0
Akshay Kumar uses the language Punjabi.,400,akshay kumar uses the language punjabi.,,,['akshay kumar'],[11252],0
John Lee Hooker received the 1996 Grammy Awards.,402,john lee hooker received the 1996 grammy awards.,,,['1996 grammy awards'],[1570],0
Africa is the continent in which Sierra Leone is located.,403,africa is the continent in which sierra leone is located.,,,['africa'],[7304],0
Bernie and Vicky Cristina Barcelona were both nominees of the Broadcast Film Critics Association Award for Best Comedy Film.,410,bernie and vicky cristina barcelona were both nominees of the broadcast film critics association award for best comedy film.,,,['broadcast film critics association award for best comedy film'],[12916],0
Netherlands has a diplomatic relation with Saudi Arabia.,413,netherlands has a diplomatic relation with saudi arabia.,,,['netherlands'],[12590],0
Alpes-Maritimes is a department in France where Nice is located.,414,alpes-maritimes is a department in france where nice is located.,,,['alpes-maritimes'],[15530],0
Mark Ronson is a cast member in Zoolander.,417,mark ronson is a cast member in zoolander.,,,['zoolander'],[6265],0
Ashanti has both Rajesh Khanna and Shabana Azmi as cast members.,430,ashanti has both rajesh khanna and shabana azmi as cast members.,,,['ashanti'],[2934],0
Wellington Phoenix FC is the association football club that is headquartered in Wellington.,431,wellington phoenix fc is the association football club that is headquartered in wellington.,,,['wellington phoenix fc'],[468],0
"Warrington is the town where Chris Evans, the merchant, was born.",433,"warrington is the town where chris evans, the merchant, was born.",,,['warrington'],[16989],0
Joely Richardson is the spouse of Tim Bevan.,436,joely richardson is the spouse of tim bevan.,,,['joely richardson'],[16639],0
East Orange is the city in New Jersey where Lauryn Hill was born.,438,east orange is the city in new jersey where lauryn hill was born.,,,['east orange'],[3032],0
The composer of Star Trek: First Contact is Jerry Goldsmith.,439,the composer of star trek: first contact is jerry goldsmith.,,,['jerry goldsmith'],[134],0
Albuquerque is a song whose genre is country rock.,441,albuquerque is a song whose genre is country rock.,,,['albuquerque'],[5912],0
Malcolm Arnold is a music composer of the symphony genre.,443,malcolm arnold is a music composer of the symphony genre.,,,['symphony'],[5006],0
"Rich Sommer lives in Toledo, which is the capital of Lucas County.",444,"rich sommer lives in toledo, which is the capital of lucas county.",,,['rich sommer'],[11980],0
Cary-Hiroyuki Tagawa is a person who uses the native language Japanese and who got educated at University of Southern California.,447,cary-hiroyuki tagawa is a person who uses the native language japanese and who got educated at university of southern california.,,,['cary-hiroyuki tagawa'],[8070],0
Seoul National University is the institution of higher learning in South Korea.,448,seoul national university is the institution of higher learning in south korea.,,,['seoul national university'],[12972],0
The Painted Veil is a written work authored by William Somerset Maugham.,451,the painted veil is a written work authored by william somerset maugham.,,,['the painted veil'],[1084],0
John Carter was born in Arkansas.,457,john carter was born in arkansas.,,,['john carter'],[11402],0
"Jefferson Parish has a border with New Orleans, where Sam Trammell was born.",462,"jefferson parish has a border with new orleans, where sam trammell was born.",,,['jefferson parish'],[16022],0
Loyola Marymount University is the higher education institution of Glen Morgan.,464,loyola marymount university is the higher education institution of glen morgan.,,,['loyola marymount university'],[16242],0
Bergen County contains Hackensack.,467,bergen county contains hackensack.,,,['bergen county'],[7798],0
cabaret is associated with chanson.,469,cabaret is associated with chanson.,,,['cabaret'],[6951],0
August Strindberg studied at Uppsala University.,471,august strindberg studied at uppsala university.,,,['uppsala university'],[13184],0
Swansea is the city where Catherine Zeta-Jones was born.,473,swansea is the city where catherine zeta-jones was born.,,,['swansea'],[11161],0
The name of the film whose script was written by Neil Simon is The Goodbye Girl.,475,the name of the film whose script was written by neil simon is the goodbye girl.,,,['the goodbye girl'],[17385],0
Quincy is a film that mainly depicts Quincy Jones.,476,quincy is a film that mainly depicts quincy jones.,,,['quincy'],[414],0
The county of Illinois named after the Scottish American James Monroe is Monroe County.,480,the county of illinois named after the scottish american james monroe is monroe county.,,,['monroe county'],[7485],0
Frederick II of Prussia's family has the dynasty of Germany.,485,frederick ii of prussia's family has the dynasty of germany.,,,['frederick ii of prussia'],[8985],0
The Lady is a motion picture directed by Frank Borzage.,486,the lady is a motion picture directed by frank borzage.,,,['the lady'],[7006],0
Savages is narrated by Blake Lively.,488,savages is narrated by blake lively.,,,['savages'],[13135],0
Small Soldiers features Phil Hartman in the cast.,489,small soldiers features phil hartman in the cast.,,,['small soldiers'],[7904],0
Seychelles's capital is Victoria.,490,seychelles's capital is victoria.,,,['victoria'],[3165],0
Northampton is the county town where Errol Flynn lived.,493,northampton is the county town where errol flynn lived.,,,['northampton'],[5099],0
